acceptor	At_71C1	At_71C2	At_71C3	At_71C4	At_71C5	At_71B8	At_71B6	At_71B5	At_71B1	At_88A1	At_72E2	At_72E3	At_72E1	At_72D1	At_72C1	At_72B3	At_72B1	At_73C3	At_73C4	At_73C5	At_73C6	At_73C1	At_73C7	At_73B2	At_73B3	At_73B4	At_73B5	At_73B1	At_89B1	At_89C1	At_84A3	At_84A4	At_84A2	At_84A1	At_84B1	At_84B2	At_75B1	At_75D1	At_74F1	At_74F2	At_74B1	At_76E5	At_76E4	At_76E1	At_76E2	At_76E12	At_76E11	At_76C4	At_85A5	At_85A4	At_78D2	At_78D1	VVGT1
Baicalein	0	0	1	2	2	1	1	1	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	2	1	1	1	1	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1	1	1	1		1	1	1	1	0	1
Umbelliferone	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	1	0	0	2	0	1	1	0	2	1	0	0	1	2	0	0	0	0	2	1	2	0	0	2	0	1
4-Methyl-umbelliferone	0	2	0	0	1	0	2	0	1	1	0	0	0	1	0	1	1	1	0	1	1	1	0	0	1	1	0	1	0	0	1	0	1	1	1	0	1	0	0	1	2	0	0	0	2	1	1	0	0	0	1	0	1
Sinapic acid	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
4-hydroxyl-benzoic acid	0	0	1	1	0	0	2	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	1	1	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0
a-cyano-4-hydroxyl-cinamic acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0
"3,4-dichloroaniline"	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"3,4-dihydroxylbenzoic acid"	1	2	1	1	2	0	0	0	1	0	2	2	2	1	0	2	1	0	0	0	0	2	0	0	1	1	0	0	1	0	0	0	0	1	0	2	1	0	2	1	0	0	0	2	0	0	0	0	2	0	1	0	2
" 2,5-dihydroxylbenzoic acid"	2	2	1	1	2	0	0	0	1	0	2	2	0	1	0	2	1	0	0	0	0	2	0	0	1	1	0	0	1	0	0	0	0	2	0	0	1	0	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0
 D-glycerate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0
 GlcNAc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0
 Indole 3-acetate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	1	1	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0
 Gibberellin A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Gibberellin A4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 (?)-Jasmonic acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
" (?)- cis, trans Abscisic acid"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Kinetin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zeatin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Luteolin	1	1	1	1	2	1	1	1	1	1	0	0	2	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1	2	0	1	0	1	0	1	1	1	1	0	1
Quercetin	1	2	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	1	0	0	0	1	1	1	1	0	1	1	1
 Fisetin	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
 Kaempferol	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Cinnamic acid	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4-hydroxy cinnamic acid	1	1	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	1	1	1	1	0	1	2	2	0	2	0	2	2	0	0	0	0	0	0	0	0	0
"3,4-dihyroxy cinnamic acid"	1	1	1	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	1	0	1	1	1	1	1	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	1
4-hydroxy 3-methoxy cinnamic acid	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	1	1	1	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-hydroxy cinnamic acid	1	1	1	1	0	1	0	0	1	0	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	1	0	0	1	2	2	2	2	0	2	2	0	0	0	0	0	0	0	0	0
3-hydroxy cinnamic acid	0	0	0	2	0	2	0	0	0	0	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0
7-hydroxy 6-methoxy coumarin (Scopoletin)	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	0	1	1	1	1	3	1	1	1	1	1	0	1	2	1	1	0	1	2	2	1	1	2	0	1	1	2	1	1	0	0	0	1	3	1
"6,7-dihydroxy coumarin (Esculetin)"	2	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	0	1	1	1	1	2	1	1	1	1	1	2	2	2	1	1	2	2	1	2	1	1	1	0	2	1	2	1	1	1	0	0	1	0	1
Threonine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0
Glucose		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0
Dihydrojasmonic acid	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ser-Phe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0
Ser-Leu	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0
BocCysThrOMe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0
MUGlcNAc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0
Trans-dihydroquercetin (DHQ)	1	0	1	1	0	0	1	1	1	1	0	0	0	1	0	0	3	1	0	1	1	1	0	0	1	1	1	1	0	0	0	1	1	1	1	0	1	0	0	0	1	2	0	0	0	2	0	0	0	0	1	0	1
7-hydroxycoumerin 3-carboxylic acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2
7-hydroxycoumerin 4-acetic acid	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2
Chloramphenicol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0
?-GlcOBn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0
a-ManOBn	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	3	0	0	0	0	0	3	0	0	0	2	2
a-ManOPh	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0
a-ManOCH2Bn	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0
a-ManOPMP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0
a-ManOBn(pNO2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0
a-ManOPhF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0
a-ManOBnF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0
ManSTol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0
