cid	MolecularWeight	smiles	TPSA	Complexity	Charge	HBondDonorCount	HBondAcceptorCount	RotatableBondCount	HeavyAtomCount	AtomStereoCount	BondStereoCount
10154	327.4	CN1CCC2=CC(=C(C3=C2C1CC4=CC(=C(C=C43)OC)O)OC)O	62.2	461	0	2	5	2	24	1	0
101763507	993.8	C1C(C(=O)OCC(C(=O)OCC(C(=O)O1)NC(=O)C2=C(C(=CC(=C2)C3C(C(C(C(O3)CO)O)O)O)O)O)NC(=O)C4=C(C(=CC(=C4)C5C(C(C(C(O5)CO)O)O)O)O)O)NC(=O)C6=C(C(=CC=C6)O)O	468	1850	0	17	25	10	70	13	0
10441749	134.14	C1=CN2C(=C1)C(=NC=N2)N	56.2	127	0	1	3	0	10	0	0
10684283	282.29	CC1=C(C=C2C(=C1OC)C(=O)C3=CC=CC=C3C2=O)OC	52.6	433	0	0	4	2	21	0	0
107126	212.28	CCCCCC1C(CCC1=O)CC(=O)O	54.4	235	0	1	3	6	15	2	0
10742	198.17	COC1=CC(=CC(=C1O)OC)C(=O)O	76	191	0	2	5	3	14	0	0
10819	152.23	CC(=C)C1CCC(=CC1)CO	20.2	179	0	1	1	2	11	1	0
10922465	234.33	CC1CCC(C2C1CCC(=C2)C)C(=C)C(=O)O	37.3	367	0	1	2	2	17	4	0
10955174	222.37	CC1CCC2(C(C3CCC2(C1C3)C)(C)C)O	20.2	321	0	1	1	0	16	5	0
114840	271.31	C1CNC(C2=CC(=C(C=C21)O)O)CC3=CC=C(C=C3)O	72.7	317	0	4	4	2	20	1	0
11727234	330.24	CC1=C2C(=CC(=C1C(=O)O)O)C(=O)C3=C(C2=O)C(=CC(=C3O)O)O	152	574	0	5	8	1	24	0	0
11782	150.17	CC1=C(C(=CC=C1)C(=O)O)C	37.3	154	0	1	2	1	11	0	0
11876195	252.35	CC12CCCC(C1CC(CC2)C(=C)C(=O)O)(C)O	57.5	376	0	2	3	2	18	4	0
122707150	532.29	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(=O)CO3)O)O)O	248	972	0	6	15	8	34	6	0
122738	578.5	C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O	221	925	0	10	12	3	42	5	0
122850	288.25	C1=CC(=CC=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O	107	392	0	4	6	1	21	2	0
12310492	302.5	CC(C)C1=C(C=C2C(=C1)CCC3C2(CCC(C3(C)C)O)C)O	40.5	416	0	2	2	1	22	3	0
124219	284.31	CC1(C=CC2=C(O1)C3=CC=CC=C3C(=C2C(=O)OC)O)C	55.8	442	0	1	4	2	21	0	0
12426239	168.23	CC(C)C1CCC(=CC1O)C=O	37.3	194	0	1	2	2	12	2	0
1254	156.26	CC1CCC(C(C1)O)C(C)C	20.2	120	0	1	1	1	11	3	0
12820	182.17	CC(=O)C1=C(C(=C(C=C1)OC)O)O	66.8	192	0	2	4	2	13	0	0
128861	287.24	C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O)O	102	364	1	5	5	1	21	0	0
12900885	250.29	COCC1C(C(C(C(O1)OC)OC)OC)OC	55.4	212	0	0	6	6	17	5	0
129320322	450.4	C1C(=O)C2=C(C=C(C(=C2O)C3C(C(C(C(O3)CO)O)O)O)O)OC1(C4=CC=C(C=C4)O)O	197	683	0	8	11	3	32	6	0
129865704	229.23	C1=CC(=CC=C1C=CC2=CC(=CC(=O)N2)O)O	69.6	388	0	3	3	2	17	0	1
135	138.12	C1=CC(=CC=C1C(=O)O)O	57.5	125	0	2	3	1	10	0	0
135398625	605.3	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N=C(NC2=O)N	327	1050	0	10	18	9	39	9	0
135398627	605.3	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N=C(NC2=O)N	327	1050	0	10	18	9	39	9	0
135402013	589.3	CC1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O)O	307	1040	0	9	17	8	38	9	0
135403798	564.5	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC4=C(C(=C(C=C4C5C(CC6=C(C=C(C=C6O5)O)O)O)O)O)C(=O)C(=C3)O)O	218	1060	0	9	12	2	41	4	0
13846689	304.29	C1C2=CC(=C(C=C2C3=C(C=C(C=C3)O)OCC1(CO)O)O)O	110	391	0	5	6	1	22	1	0
143754	114.17	CC1=CC=C(O1)S	14.1	65	0	1	2	0	7	0	0
14427423	372.4	CC(C)(CCC1=C2C(=C(C=C1O)O)C(=O)C(=C(O2)C3=CC=C(C=C3)O)O)O	127	591	0	5	7	4	27	0	0
1548943	305.4	CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC	58.6	341	0	2	3	9	22	0	1
1549095	180.20	COC1=C(C=CC(=C1)C=CCO)O	49.7	168	0	2	3	3	13	0	1
155011	330.29	CC1=CC2=C(C(=C1O)OC)C(=O)C3=C(C(=C(C=C3C2=O)O)OC)O	113	521	0	3	7	2	24	0	0
155240	196.20	CC(=O)OCCC1=CC(=C(C=C1)O)O	66.8	193	0	2	4	4	14	0	0
15541	332.35	CC1CC(=O)C2(C(O1)OC3C(C(C(C(C3O2)NC)O)NC)O)O	130	478	0	5	9	2	23	9	0
16666	156.26	CC1CCC(C(C1)O)C(C)C	20.2	120	0	1	1	1	11	3	0
17100	154.25	CC1=CCC(CC1)C(C)(C)O	20.2	168	0	1	1	1	11	1	0
1738	182.17	COC1=C(C=CC(=C1)CC(=O)O)O	66.8	181	0	2	4	3	13	0	0
174174	289.4	CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3	49.8	353	0	1	4	5	21	3	0
174375	357.2	C1=CC(=CC=C1C2=C3C(=C(N2)O)C(=NC3=O)C4=CC=C(C=C4)Cl)Cl	65.4	525	0	2	2	2	24	0	0
176096	304.34	COC1=CC(=CC(=C1O)OC)CCC2=CC(=C(C=C2)O)OC	68.2	310	0	2	5	6	22	0	0
18068	566.30	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O	292	964	0	9	17	9	36	9	0
188297	248.32	CC1=CCC(C2(C1C3C(CC2)C(=C)C(=O)O3)C)O	46.5	451	0	1	3	0	18	5	0
19235	536.28	C1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)O)O)O	271	916	0	8	16	8	34	8	0
21487628	266.38	CC(C)CCCC(C)OC1=CC(=CC(=C1)OC)OC	27.7	218	0	0	3	8	19	1	0
21611827	272.25	C1C(=O)C2=C(C=C(C=C2OC1(C3=CC=CC=C3)O)O)O	87	379	0	3	5	1	20	1	0
