Protein	Species	Acceptor	Reactive
MtUGT71G1	Medicago truncatula	oleanodmycin	no
MtUGT71G1	Medicago truncatula	Baicalein	yes
MtUGT71G1	Medicago truncatula	Umbelliferone	no
MtUGT71G1	Medicago truncatula	4-Methyl-umbelliferone	no
MtUGT71G1	Medicago truncatula	Sinapic acid	yes
MtUGT71G1	Medicago truncatula	4-hydroxyl-benzoic acid	yes
MtUGT71G1	Medicago truncatula	a-cyano-4-hydroxyl-cinamic acid	no
MtUGT71G1	Medicago truncatula	3,4-dichloroaniline	no
MtUGT71G1	Medicago truncatula	3,4-dihydroxylbenzoic acid	yes
MtUGT71G1	Medicago truncatula	2,5-dihydroxylbenzoic acid	yes
MtUGT71G1	Medicago truncatula	Indole 3-acetate	no
MtUGT71G1	Medicago truncatula	Gibberellin A3	no
MtUGT71G1	Medicago truncatula	Gibberellin A4	no
MtUGT71G1	Medicago truncatula	(?)-Jasmonic acid	no
MtUGT71G1	Medicago truncatula	Kinetin	no
MtUGT71G1	Medicago truncatula	Zeatin	no
MtUGT71G1	Medicago truncatula	Luteolin	yes
MtUGT71G1	Medicago truncatula	Quercetin	yes
MtUGT71G1	Medicago truncatula	Fisetin	yes
MtUGT71G1	Medicago truncatula	Kaempferol	yes
MtUGT71G1	Medicago truncatula	Cinnamic acid	no
MtUGT71G1	Medicago truncatula	4-hydroxy cinnamic acid	no
MtUGT71G1	Medicago truncatula	3,4-dihyroxy cinnamic acid	yes
MtUGT71G1	Medicago truncatula	4-hydroxy 3-methoxy cinnamic acid	no
MtUGT71G1	Medicago truncatula	2-hydroxy cinnamic acid	yes
MtUGT71G1	Medicago truncatula	3-hydroxy cinnamic acid	no
MtUGT71G1	Medicago truncatula	7-hydroxy 6-methoxy coumarin (Scopoletin)	no
MtUGT71G1	Medicago truncatula	6,7-dihydroxy coumarin (Esculetin)	yes
MtUGT71G1	Medicago truncatula	Trans-dihydroquercetin (DHQ)	yes
MtUGT71G1	Medicago truncatula	novobiocin	no
MtUGT71G1	Medicago truncatula	Catechin	yes
MtUGT71G1	Medicago truncatula	Genistein	yes
MtUGT71G1	Medicago truncatula	Olomoucine	no
MtUGT71G1	Medicago truncatula	spectinomycin	no
MtUGT71G1	Medicago truncatula	CHAPS	no
MtUGT71G1	Medicago truncatula	a-ecdysone	no
MtUGT71G1	Medicago truncatula	solanidine	no
MtUGT71G1	Medicago truncatula	solasodine	no
MtUGT71G1	Medicago truncatula	b-sitosterol	no
MtUGT78G1	Medicago truncatula	oleanodmycin	no
MtUGT78G1	Medicago truncatula	Baicalein	yes
MtUGT78G1	Medicago truncatula	Umbelliferone	no
MtUGT78G1	Medicago truncatula	4-Methyl-umbelliferone	no
MtUGT78G1	Medicago truncatula	Sinapic acid	no
MtUGT78G1	Medicago truncatula	4-hydroxyl-benzoic acid	no
MtUGT78G1	Medicago truncatula	a-cyano-4-hydroxyl-cinamic acid	no
MtUGT78G1	Medicago truncatula	3,4-dichloroaniline	no
MtUGT78G1	Medicago truncatula	3,4-dihydroxylbenzoic acid	yes
MtUGT78G1	Medicago truncatula	2,5-dihydroxylbenzoic acid	no
MtUGT78G1	Medicago truncatula	Indole 3-acetate	no
MtUGT78G1	Medicago truncatula	Gibberellin A3	no
MtUGT78G1	Medicago truncatula	Gibberellin A4	no
MtUGT78G1	Medicago truncatula	(?)-Jasmonic acid	no
MtUGT78G1	Medicago truncatula	Kinetin	no
MtUGT78G1	Medicago truncatula	Zeatin	no
MtUGT78G1	Medicago truncatula	Luteolin	yes
MtUGT78G1	Medicago truncatula	Quercetin	yes
MtUGT78G1	Medicago truncatula	Fisetin	yes
MtUGT78G1	Medicago truncatula	Kaempferol	yes
MtUGT78G1	Medicago truncatula	Cinnamic acid	no
MtUGT78G1	Medicago truncatula	4-hydroxy cinnamic acid	no
