cas	cid	ID	Description	UGT	Accession	Polyphenol Name	Yield
500-65-2	5320954	1	GRMZM2G085854P02		B6SRY5	Rhapontigenin	54
446-72-0	5280961	1	GRMZM2G085854P02		B6SRY5	Genistein	22
520-36-5	5280443	1	GRMZM2G085854P02		B6SRY5	Apigenin	43
491-70-3	5280445	1	GRMZM2G085854P02		B6SRY5	Luteolin	73
4773-96-0	5281647	1	GRMZM2G085854P02		B6SRY5	Mangiferin	0
3681-93-4	5280441	1	GRMZM2G085854P02		B6SRY5	Vitexin	0
1126-61-0	70775	1	GRMZM2G085854P02		B6SRY5	4-Allylpyrocatechol	56
13677-79-7	83651	1	GRMZM2G085854P02		B6SRY5	2,3,4-Trihydroxybenzoic acid	0
451-13-8	780	1	GRMZM2G085854P02		B6SRY5	Homogentisic acid	15
31721-94-5	5281343	1	GRMZM2G085854P02		B6SRY5	5,7-Dihydroxychromone	43
1983-81-9	54679630	1	GRMZM2G085854P02		B6SRY5	4,7-DIHYDROXYCOUMARIN	20
708-53-2	12820	1	GRMZM2G085854P02		B6SRY5	2',3'-Dihydroxy-4'-methoxyacetophenone	39
529-84-0	5319502	1	GRMZM2G085854P02		B6SRY5	4-Methylesculetin	54
2107-76-8	5354284	1	GRMZM2G085854P02		B6SRY5	4-Methyllimetol	14
3843-74-1	689075	1	GRMZM2G085854P02		B6SRY5	Methyl caffeate acid	33
4707-47-5	238398	1	GRMZM2G085854P02		B6SRY5	Atraric acid	14
69039-02-7	155240	1	GRMZM2G085854P02		B6SRY5	Hydroxytyrosol Acetate	40
121-79-9	4947	1	GRMZM2G085854P02		B6SRY5	Propyl gallate	82
606-12-2	220295	1	GRMZM2G085854P02		B6SRY5	2,4'-Dihydroxybenzophenone	0
531-95-3	91469	1	GRMZM2G085854P02		B6SRY5	Equol	3
33626-08-3	6255462	1	GRMZM2G085854P02		B6SRY5	4'-Methoxyresveratrol	92
86361-55-9	45382232	1	GRMZM2G085854P02		B6SRY5	Gnetol	5
842-01-3	5413034	1	GRMZM2G085854P02		B6SRY5	7,8-Dihydroxy-4-phenylcoumarin	9
7758-73-8	5398649	1	GRMZM2G085854P02		B6SRY5	5,7-Dihydroxy-4-phenylcoumarin	0
32507-66-7	5318650	1	GRMZM2G085854P02		B6SRY5	Isorhapontigenin	47
17817-31-1	5284649	1	GRMZM2G085854P02		B6SRY5	6,7,4'-Trihydroxyisoflavone	36
487-52-5	5281222	1	GRMZM2G085854P02		B6SRY5	Butein	90
20575-57-9	5280448	1	GRMZM2G085854P02		B6SRY5	Calycosin	10
480-11-5	5320315	1	GRMZM2G085854P02		B6SRY5	Oroxylin A	13
104594-70-9	5281787	1	GRMZM2G085854P02		B6SRY5	Caffeic Acid Phenethyl Ester	97
2957-21-3	73571	1	GRMZM2G085854P02		B6SRY5	Sakuranetin	28
552-58-9	440735	1	GRMZM2G085854P02		B6SRY5	Eriodictyol	16
480-20-6	122850	1	GRMZM2G085854P02		B6SRY5	Aromadendrin	22
1447-88-7	5281628	1	GRMZM2G085854P02		B6SRY5	Hispidulin	16
548-77-6	5281811	1	GRMZM2G085854P02		B6SRY5	Tectorigenin	13
37308-75-1	6293081	1	GRMZM2G085854P02		B6SRY5	Flavokawain C	34
500-38-9	4534	1	GRMZM2G085854P02		B6SRY5	Nordihydroguaiaretic acid	0
102036-29-3	13846689	1	GRMZM2G085854P02		B6SRY5	Protosappanin B	0
108853-14-1	176096	1	GRMZM2G085854P02		B6SRY5	Dendrophenol	1
520-11-6	5317284	1	GRMZM2G085854P02		B6SRY5	6-Methoxyluteolin	57
41060-15-5	5320053	1	GRMZM2G085854P02		B6SRY5	Neobavaisoflavone	27
19879-32-4	5321775	1	GRMZM2G085854P02		B6SRY5	Bavachin	10
67979-25-3	155011	1	GRMZM2G085854P02		B6SRY5	Aurantio-obtusin	7
18085-97-7	5379096	1	GRMZM2G085854P02		B6SRY5	Jaceosidin	37
906-33-2	5280633	1	GRMZM2G085854P02		B6SRY5	Neochlorogenic acid	0
548-76-5	5464170	1	GRMZM2G085854P02		B6SRY5	Irigenin	15
27208-80-6	5281718	1	GRMZM2G085854P02		B6SRY5	Polydatin	0
500-65-2	5320954	2	GRMZM2G372068P01		B4F9H1	Rhapontigenin	49
446-72-0	5280961	2	GRMZM2G372068P01		B4F9H1	Genistein	0
520-36-5	5280443	2	GRMZM2G372068P01		B4F9H1	Apigenin	0
491-70-3	5280445	2	GRMZM2G372068P01		B4F9H1	Luteolin	2
4773-96-0	5281647	2	GRMZM2G372068P01		B4F9H1	Mangiferin	0
3681-93-4	5280441	2	GRMZM2G372068P01		B4F9H1	Vitexin	0
1126-61-0	70775	2	GRMZM2G372068P01		B4F9H1	4-Allylpyrocatechol	47
13677-79-7	83651	2	GRMZM2G372068P01		B4F9H1	2,3,4-Trihydroxybenzoic acid	0
451-13-8	780	2	GRMZM2G372068P01		B4F9H1	Homogentisic acid	21
31721-94-5	5281343	2	GRMZM2G372068P01		B4F9H1	5,7-Dihydroxychromone	12
1983-81-9	54679630	2	GRMZM2G372068P01		B4F9H1	4,7-DIHYDROXYCOUMARIN	2
