enzyme	rate	source	reaction	cid	acceptor
UGT71G1		GT-Predict extensions	0	5281166	Jasmonic acid
UGT78G1		GT-Predict extensions	0	5281166	Jasmonic acid
UGT72B10		GT-Predict extensions	0	5281166	Jasmonic acid
UGT74P1		GT-Predict extensions	0	5281166	Jasmonic acid
UGT73A10		GT-Predict extensions	0	5281166	Jasmonic acid
UGT74N1		GT-Predict extensions	0	5281166	Jasmonic acid
UGT75L2		GT-Predict extensions	0	5281166	Jasmonic acid
UGT85A20		GT-Predict extensions	0	5281166	Jasmonic acid
UGT73Q1		GT-Predict extensions	0	5281166	Jasmonic acid
UGT73A12		GT-Predict extensions	0	5281166	Jasmonic acid
UGT86A5		GT-Predict extensions	0	5281166	Jasmonic acid
UGT94E2		GT-Predict extensions	0	5281166	Jasmonic acid
UGT84C2		GT-Predict extensions	0	5281166	Jasmonic acid
UGT85B2		GT-Predict extensions	0	5281166	Jasmonic acid
UGT74H5		GT-Predict extensions	0	5281166	Jasmonic acid
UGT88C4		GT-Predict extensions	0	5281166	Jasmonic acid
UGT74H6		GT-Predict extensions	0	5281166	Jasmonic acid
UGT75E3		GT-Predict extensions	0	5281166	Jasmonic acid
OleD		GT-Predict extensions	0	5375199	Dormin
OleD		GT-Predict extensions	0	12304694	(+/-)-Jasmonic acid
At_71C1		GT-Predict	0	5280896	Abscisic acid
At_71C2		GT-Predict	0	5280896	Abscisic acid
At_71C3		GT-Predict	0	5280896	Abscisic acid
At_71C4		GT-Predict	0	5280896	Abscisic acid
At_71C5		GT-Predict	0	5280896	Abscisic acid
At_71B8		GT-Predict	0	5280896	Abscisic acid
At_71B6		GT-Predict	1	5280896	Abscisic acid
At_71B5		GT-Predict	0	5280896	Abscisic acid
At_71B1		GT-Predict	0	5280896	Abscisic acid
At_88A1		GT-Predict	0	5280896	Abscisic acid
At_72E2		GT-Predict	0	5280896	Abscisic acid
At_72E3		GT-Predict	0	5280896	Abscisic acid
At_72E1		GT-Predict	0	5280896	Abscisic acid
At_72D1		GT-Predict	0	5280896	Abscisic acid
At_72C1		GT-Predict	0	5280896	Abscisic acid
At_72B3		GT-Predict	0	5280896	Abscisic acid
At_72B1		GT-Predict	0	5280896	Abscisic acid
At_73C3		GT-Predict	0	5280896	Abscisic acid
At_73C4		GT-Predict	0	5280896	Abscisic acid
At_73C5		GT-Predict	0	5280896	Abscisic acid
At_73C6		GT-Predict	0	5280896	Abscisic acid
At_73C1		GT-Predict	0	5280896	Abscisic acid
At_73C7		GT-Predict	0	5280896	Abscisic acid
At_73B2		GT-Predict	0	5280896	Abscisic acid
At_73B3		GT-Predict	0	5280896	Abscisic acid
At_73B4		GT-Predict	0	5280896	Abscisic acid
At_73B5		GT-Predict	0	5280896	Abscisic acid
At_73B1		GT-Predict	1	5280896	Abscisic acid
At_89B1		GT-Predict	0	5280896	Abscisic acid
At_89C1		GT-Predict	0	5280896	Abscisic acid
At_84A3		GT-Predict	0	5280896	Abscisic acid
At_84A4		GT-Predict	0	5280896	Abscisic acid
At_84A2		GT-Predict	1	5280896	Abscisic acid
At_84A1		GT-Predict	1	5280896	Abscisic acid
At_84B1		GT-Predict	1	5280896	Abscisic acid
At_84B2		GT-Predict	1	5280896	Abscisic acid
At_75B1		GT-Predict	1	5280896	Abscisic acid
At_75D1		GT-Predict	0	5280896	Abscisic acid
At_74F1		GT-Predict	0	5280896	Abscisic acid
At_74F2		GT-Predict	0	5280896	Abscisic acid
At_74B1		GT-Predict	0	5280896	Abscisic acid
At_76E5		GT-Predict	0	5280896	Abscisic acid
At_76E4		GT-Predict	0	5280896	Abscisic acid
At_76E1		GT-Predict	0	5280896	Abscisic acid
At_76E2		GT-Predict	0	5280896	Abscisic acid
At_76E12		GT-Predict	0	5280896	Abscisic acid
At_76E11		GT-Predict	0	5280896	Abscisic acid
At_76C4		GT-Predict	0	5280896	Abscisic acid
At_85A5		GT-Predict	0	5280896	Abscisic acid
At_85A4		GT-Predict	0	5280896	Abscisic acid
At_78D2		GT-Predict	0	5280896	Abscisic acid
At_78D1		GT-Predict	0	5280896	Abscisic acid
VVGT1		GT-Predict	0	5280896	Abscisic acid
At_71C1		GT-Predict	0	12304694	(+/-)-Jasmonic acid
At_71C2		GT-Predict	0	12304694	(+/-)-Jasmonic acid
At_71C3		GT-Predict	0	12304694	(+/-)-Jasmonic acid
At_71C4		GT-Predict	0	12304694	(+/-)-Jasmonic acid
At_71C5		GT-Predict	0	12304694	(+/-)-Jasmonic acid
At_71B8		GT-Predict	0	12304694	(+/-)-Jasmonic acid
At_71B6		GT-Predict	0	12304694	(+/-)-Jasmonic acid
At_71B5		GT-Predict	0	12304694	(+/-)-Jasmonic acid
At_71B1		GT-Predict	0	12304694	(+/-)-Jasmonic acid
At_88A1		GT-Predict	0	12304694	(+/-)-Jasmonic acid
At_72E2		GT-Predict	0	12304694	(+/-)-Jasmonic acid
At_72E3		GT-Predict	0	12304694	(+/-)-Jasmonic acid
At_72E1		GT-Predict	0	12304694	(+/-)-Jasmonic acid
At_72D1		GT-Predict	0	12304694	(+/-)-Jasmonic acid
At_72C1		GT-Predict	0	12304694	(+/-)-Jasmonic acid
At_72B3		GT-Predict	0	12304694	(+/-)-Jasmonic acid
At_72B1		GT-Predict	0	12304694	(+/-)-Jasmonic acid
At_73C3		GT-Predict	0	12304694	(+/-)-Jasmonic acid
At_73C4		GT-Predict	0	12304694	(+/-)-Jasmonic acid
At_73C5		GT-Predict	0	12304694	(+/-)-Jasmonic acid
At_73C6		GT-Predict	0	12304694	(+/-)-Jasmonic acid
At_73C1		GT-Predict	0	12304694	(+/-)-Jasmonic acid
At_73C7		GT-Predict	0	12304694	(+/-)-Jasmonic acid
At_73B2		GT-Predict	0	12304694	(+/-)-Jasmonic acid
